class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023108,PCS3335,Laboratório Digital A,Anarosa Alves Franco Brandão,2023-03-13,2023-07-15,eletrica-manual,qui,09:20,12:00,Elétrica,C1-17,1
2023109,PCS3335,Laboratório Digital A,Pedro Luiz Pizzigatti Corrêa,2023-03-13,2023-07-15,eletrica-manual,qui,15:00,17:40,Elétrica,C1-17,1
2023110,PCS3335,Laboratório Digital A,Glauber De Bona,2023-03-13,2023-07-15,eletrica-manual,qui,15:00,17:40,Elétrica,C1-17,1
2023111,PCS3335,Laboratório Digital A,Jorge Rady de Almeida Junior,2023-03-13,2023-07-15,eletrica-manual,sex,15:00,17:40,Elétrica,C1-17,1
2023112,PCS3335,Laboratório Digital A,Marco Tulio Carvalho de Andrade,2023-03-13,2023-07-15,eletrica-manual,sex,15:00,17:40,Elétrica,C1-17,1
2023102,PCS3432,Laboratório de Processadores,Wilian França Costa,2023-03-13,2023-07-15,eletrica-manual,ter,08:20,12:00,Elétrica,C1-13,1
2023103,PCS3432,Laboratório de Processadores,Wilian França Costa,2023-03-13,2023-07-15,eletrica-manual,sex,08:20,12:00,Elétrica,C1-13,1
2023102,PCS3443,Laboratório de Engenharia de Software I,Solange Nice Alves de Souza,2023-03-13,2023-07-15,eletrica-manual,qui,08:20,12:00,Elétrica,LabES,1
2023101,PCS3434,Laboratório de Redes de Computadores,Graça Bressan,2023-03-13,2023-07-15,eletrica-manual,qua,08:20,12:00,Elétrica,LabRedes,1
2023101,PCS3528,Análise de Desempenho de Sistemas Computacionais,João Batista Camargo Júnior,2023-03-13,2023-07-15,eletrica-manual,qui,08:20,12:00,Elétrica,C1-49,1
2023101,PCS3828,Análise de Desempenho de Sistemas Computacionais,João Batista Camargo Júnior,2023-03-13,2023-07-15,eletrica-manual,qui,08:20,12:00,Elétrica,C1-49,1
2023101,PCS3544,Segurança da Informação,Marcos Antonio Simplicio Junior,2023-03-13,2023-07-15,eletrica-manual,qui,14:00,17:40,Elétrica,D1-04,1
2023101,PCS3844,Segurança da Informação,Marcos Antonio Simplicio Junior,2023-03-13,2023-07-15,eletrica-manual,qui,14:00,17:40,Elétrica,D1-04,1
2023101,PCS3519,Aplicações e Tecnologias em Automação,Jorge Luis Risco Becerra,2023-01-09,2023-04-20,eletrica-manual,ter,08:20,12:00,Elétrica,C1-49,1
2023101,PCS3819,Aplicações e Tecnologias em Automação,Jorge Luis Risco Becerra,2023-01-09,2023-04-20,eletrica-manual,ter,08:20,12:00,Elétrica,C1-49,1
2023101,PCS3556,Lógica Computacional,Ricardo Luis de Azevedo da Rocha,2023-01-09,2023-04-20,eletrica-manual,seg,08:20,12:00,Elétrica,C1-49,1
2023101,PCS3856,Lógica Computacional,Ricardo Luis de Azevedo da Rocha,2023-01-09,2023-04-20,eletrica-manual,seg,08:20,12:00,Elétrica,C1-49,1
2023101,PCS3818,Engenharia de Sistema de Computação,Selma Shin Shimizu Melnikoff,2023-01-09,2023-04-20,eletrica-manual,sex,08:20,12:00,Elétrica,C1-49,1
2023150,PCS3529,Criação e Administração de Empresas de Computação,Edson Fregni,2023-01-09,2023-04-20,eletrica-manual,ter,14:00,17:40,Elétrica,C1-49,1
2023150,PCS3829,Criação e Administração de Empresas de Computação,Edson Fregni,2023-01-09,2023-04-20,eletrica-manual,ter,14:00,17:40,Elétrica,C1-49,1
